FLT14_all,FLT14_not_GC8,FLT9_all,FLT9_not_GC2,FLT6_all,FLT6_not_GC2,FLT15_all,FLT15_not_GC1,FLT13_all,FLT13_not_GC7,FLT2_all,FLT2_not_GC4,FLT5_all,FLT5_not_GC11,FLT1_all,FLT1_not_GC5,FLT12_not_GC6,FLT7_not_GC2
,,,,Olfr734,,,,,,Aste1,,Hras,,Dennd1a,,,
,,,,Fen1,,,,,,Ccdc138,,Ldlr,,Sap130,,,
,,,,St3gal2,,,,,,Cdkn2aipnl,,Preb,,Arhgap12,,,
,,,,Prss8,,,,,,Rcn2,,Fcna,,Eif1ax,,,
,,,,Pced1b,,,,,,Zfyve16,,Ankrd40,,Igsf5,,,
,,,,Zfp109,,,,,,Trmt13,,Slc2a9,,Nudcd2,,,
,,,,Tprn,,,,,,Ncapd3,,Park7,,Rprd1b,,,
,,,,Ddah2,,,,,,Gabpb1,,Mau2,,Thoc1,,,
,,,,Tgfb3,,,,,,Zfp367,,Inpp5b,,Eif3j2,,,
,,,,Efcc1,,,,,,Bco1,,Foxa3,,Msr1,,,
,,,,Susd2,,,,,,Trim65,,Rps14,,Tirap,,,
,,,,Ntmt1,,,,,,Marcksl1,,Atp6v0d1,,Sik1,,,
,,,,Id1,,,,,,Ing3,,Cd5l,,Acvr2a,,,
,,,,Fbxl19,,,,,,Gm15408,,Aldh16a1,,Cdc42bpa,,,
,,,,Bst1,,,,,,Snx30,,B4galnt1,,Epg5,,,
,,,,Nfkbil1,,,,,,Eml1,,Spata13,,Marcks,,,
,,,,Ubb-ps,,,,,,Spred2,,Pex6,,Dnase1l3,,,
,,,,Cenpt,,,,,,Tti1,,BC024386,,Chmp5,,,
,,,,Art3,,,,,,Sesn1,,Ndufs6,,Srsf11,,,
,,,,Ptk6,,,,,,Tmem80,,Ddost,,Eif2b1,,,
,,,,9330020H09Rik,,,,,,Ppl,,Adrm1,,Pdcd5,,,
,,,,Unc45b,,,,,,Pde1a,,Sdf4,,Exoc3,,,
,,,,Gpsm1,,,,,,Kctd3,,Dgkd,,Chmp2b,,,
,,,,Parvb,,,,,,Camk2d,,Tmem258,,Zfp24,,,
,,,,Hic2,,,,,,Fgl2,,Myo18a,,Ndufaf4,,,
,,,,Marchf3,,,,,,Saal1,,Lcn2,,Sarnp,,,
,,,,Ano8,,,,,,Cpm,,Arid1b,,Cnot9,,,
,,,,Cdca7,,,,,,Car1,,Glmp,,Sox5,,,
,,,,Cpt1b,,,,,,Rae1,,Fbh1,,Lipg,,,
,,,,Afap1,,,,,,Nanp,,Npr2,,Snw1,,,
,,,,Zfp30,,,,,,Tcp11l1,,Wipi2,,Bcl2l13,,,
,,,,Src,,,,,,Uckl1,,Fam114a1,,Commd8,,,
,,,,Disp1,,,,,,Mphosph8,,Eif4h,,Fem1c,,,
,,,,Ehd2,,,,,,Tcf7l2,,Sdr9c7,,Dnajc2,,,
,,,,Ggt5,,,,,,Ccndbp1,,Atp5j2,,Atf2,,,
,,,,Fgd2,,,,,,Vps33b,,Marchf8,,Vkorc1l1,,,
,,,,Olfr1328,,,,,,Sco1,,Lrig1,,Nmrk1,,,
,,,,Ptpn18,,,,,,Cryzl2,,Gnb2,,Dcaf13,,,
,,,,Tbxa2r,,,,,,Firre,,Ndufa12,,Rabgap1,,,
,,,,Vegfc,,,,,,Scai,,Cnpy3,,Baz2a,,,
,,,,Ephb6,,,,,,Ttf1,,Chmp1a,,Nup88,,,
,,,,Zfp112,,,,,,Hmcn1,,Sdhc,,Arhgef37,,,
,,,,Csrnp1,,,,,,Fstl1,,Tars2,,Fastkd2,,,
,,,,Tas1r3,,,,,,Polr3e,,Gm2a,,Gtf2h1,,,
,,,,Fbxl15,,,,,,1810030O07Rik,,Plekha6,,Dek,,,
,,,,Pf4,,,,,,Tmtc4,,Desi1,,Zmym5,,,
,,,,Clec11a,,,,,,Nsun3,,Kank2,,Foxred1,,,
,,,,Zfta,,,,,,Sugp2,,Dag1,,Pitpnc1,,,
,,,,Vmn1r43,,,,,,Ints9,,Lbp,,Stk38,,,
,,,,Ppp1r13l,,,,,,Hsdl1,,Myo9b,,Nrip1,,,
,,,,Ccdc163,,,,,,Txnrd3,,Tmem86b,,Metap1d,,,
,,,,Hspa12b,,,,,,Elac1,,Aqp1,,Usp53,,,
,,,,Kics2,,,,,,Frk,,Gorasp2,,Hs2st1,,,
,,,,Zfp334,,,,,,Rrp8,,Lrrc41,,Mdfic,,,
,,,,Cldn5,,,,,,Rrm1,,Ergic3,,Tpm4,,,
,,,,Slc2a4rg-ps,,,,,,Wdr53,,Cnpy2,,Ufl1,,,
,,,,Gapdhs,,,,,,Mamdc2,,Fbxo31,,Eif3m,,,
,,,,Tshz3,,,,,,Odf2,,Mylk,,Rsl1d1,,,
,,,,AI467606,,,,,,Usp39,,Ndufa2,,Dym,,,
,,,,Slc39a5,,,,,,Ltbp1,,Tmprss6,,Slc25a37,,,
,,,,Rad9a,,,,,,Sh2b3,,Chd3,,Nup98,,,
,,,,Dnaja4,,,,,,Zfp87,,Prrc2b,,Jcad,,,
,,,,Slc7a4,,,,,,Il10rb,,Lrg1,,Abcb10,,,
,,,,Exoc3l,,,,,,Glcci1,,Zfyve26,,Ccnh,,,
,,,,Dcdc2a,,,,,,Nfam1,,Pisd,,Stradb,,,
,,,,Tle6,,,,,,Akip1,,Sash1,,Mterf3,,,
,,,,Engase,,,,,,Cir1,,Tnfrsf1a,,Irf9,,,
,,,,Ptrhd1,,,,,,Dis3,,Atp9a,,Amz2,,,
,,,,Plp2,,,,,,Ociad2,,Agxt,,Vsig4,,,
,,,,Znf41-ps,,,,,,Itgal,,Prkcsh,,Coq3,,,
,,,,Abhd14a,,,,,,Tmem60,,Bag6,,Cul4b,,,
,,,,Ift81,,,,,,Igf1r,,Gna11,,Igsf11,,,
,,,,Chac1,,,,,,Clec7a,,Slc22a18,,Mrpl30,,,
,,,,Rcc1,,,,,,Zfp27,,Bst2,,Erg28,,,
,,,,Pcgf1,,,,,,Med10,,Ahsa1,,Brd4,,,
,,,,Zfp771,,,,,,Timm10b,,Cisd1,,Tmem97,,,
,,,,Elp6,,,,,,Arl4d,,Flna,,Zc3h7a,,,
,,,,Pagr1a,,,,,,Zfp930,,Nop10,,Atp1b1,,,
,,,,Napsa,,,,,,Sdhaf4,,Neu1,,Rpf1,,,
,,,,Tyw3,,,,,,Klhl7,,Spint2,,Isg20l2,,,
,,,,Bok,,,,,,Ppme1,,Pla2g6,,Tent4a,,,
,,,,Tcf7,,,,,,Hus1,,Ykt6,,Nup50,,,
,,,,Car5b,,,,,,Ppargc1a,,Clpp,,Mmaa,,,
,,,,Spin4,,,,,,Gabra3,,Pxn,,Slc35g1,,,
,,,,Serpina3h,,,,,,Fbxo25,,Urod,,Cbr4,,,
,,,,Pamr1,,,,,,Apex2,,Grb7,,Mtif2,,,
,,,,Zfp41,,,,,,Gps2,,Atp6v1f,,Cdc27,,,
,,,,Slc26a11,,,,,,Tmem35b,,Gstm6,,Farp2,,,
,,,,Abitram,,,,,,Wls,,Lman2,,Pgm3,,,
,,,,Sult2a6,,,,,,Ppp1r21,,Abcg8,,Sh3bgrl2,,,
,,,,Rangrf,,,,,,Cplane1,,Fam168b,,Zfp617,,,
,,,,Wnt9b,,,,,,Tspyl4,,Glyctk,,Cep120,,,
,,,,Sp2,,,,,,Tusc3,,Acacb,,Dap3,,,
,,,,Zfp608,,,,,,2510002D24Rik,,Serf2,,Gimap6,,,
,,,,,,,,,,Rcn1,,Scarb1,,Ptdss1,,,
,,,,,,,,,,Gpn1,,Plekhg3,,Map2k5,,,
,,,,,,,,,,Ttc5,,Ctsz,,Fnbp4,,,
,,,,,,,,,,Zfp1,,Chdh,,Tom1l1,,,
,,,,,,,,,,Bcap29,,Ddt,,Dcaf1,,,
,,,,,,,,,,Zcchc8,,Ech1,,Lpar6,,,
,,,,,,,,,,Wdfy4,,Naa38,,Ago2,,,
,,,,,,,,,,Zbed4,,Ndufa13,,Atxn10,,,
,,,,,,,,,,Zscan21,,Gcat,,Sorbs1,,,
,,,,,,,,,,2610044O15Rik8,,,,Rdh10,,,
,,,,,,,,,,Lgals4,,,,Smcr8,,,
,,,,,,,,,,Helq,,,,Dhx33,,,
,,,,,,,,,,Akirin2,,,,Slc23a2,,,
,,,,,,,,,,AW011738,,,,Septin10,,,
,,,,,,,,,,Camkk2,,,,Dock4,,,
,,,,,,,,,,Rab10os,,,,Mrpl45,,,
,,,,,,,,,,Asb1,,,,As3mt,,,
,,,,,,,,,,Proser1,,,,Bola3,,,
,,,,,,,,,,Itpripl1,,,,Snrnp27,,,
,,,,,,,,,,Tubgcp2,,,,Akap10,,,
,,,,,,,,,,Serpinb9,,,,Cox17,,,
,,,,,,,,,,Lnpk,,,,Vps29,,,
,,,,,,,,,,Mtrfr,,,,Pcmtd2,,,
,,,,,,,,,,Trpm2,,,,Cog6,,,
,,,,,,,,,,Meak7,,,,St7l,,,
,,,,,,,,,,Frg1,,,,Armt1,,,
,,,,,,,,,,Naip2,,,,Zbtb6,,,
,,,,,,,,,,Abi3bp,,,,Ckap5,,,
,,,,,,,,,,Prmt5,,,,Emg1,,,
,,,,,,,,,,Cep63,,,,Chn2,,,
,,,,,,,,,,Lage3,,,,Ublcp1,,,
,,,,,,,,,,Trim27,,,,Cdc123,,,
,,,,,,,,,,Slc25a40,,,,Cops3,,,
,,,,,,,,,,Ifi44,,,,Ralgapa1,,,
,,,,,,,,,,4930430F08Rik,,,,Mtmr6,,,
,,,,,,,,,,Jam2,,,,Glce,,,
,,,,,,,,,,Ing1,,,,Higd1a,,,
,,,,,,,,,,Srek1ip1,,,,Gid4,,,
,,,,,,,,,,Ifit3,,,,Fig4,,,
,,,,,,,,,,2310022B05Rik,,,,Ube2f,,,
,,,,,,,,,,1700025G04Rik,,,,Anapc16,,,
,,,,,,,,,,Wee1,,,,Septin2,,,
,,,,,,,,,,Ofd1,,,,Serinc5,,,
,,,,,,,,,,Plpp1,,,,Fam168a,,,
,,,,,,,,,,Itgb3,,,,Pole4,,,
,,,,,,,,,,Cinp,,,,Fbxw11,,,
,,,,,,,,,,Rfx5,,,,Tial1,,,
,,,,,,,,,,Mycl,,,,Ncbp3,,,
,,,,,,,,,,Oasl2,,,,Trim33,,,
,,,,,,,,,,Slc44a2,,,,Cd55,,,
,,,,,,,,,,Zfp958,,,,Pigg,,,
,,,,,,,,,,Mrpl19,,,,Mrtfb,,,
,,,,,,,,,,Dbr1,,,,Rrn3,,,
,,,,,,,,,,Lyrm4,,,,Fdx1,,,
,,,,,,,,,,Itih5,,,,Zkscan3,,,
,,,,,,,,,,Mx2,,,,Hcn3,,,
,,,,,,,,,,Zbtb24,,,,Dusp16,,,
,,,,,,,,,,Pigm,,,,Sec11a,,,
,,,,,,,,,,Ankrd12,,,,Tmem70,,,
,,,,,,,,,,Casc3,,,,Tmx2,,,
,,,,,,,,,,Pgam5,,,,Mpv17,,,
,,,,,,,,,,Tanc2,,,,Fgfr1op2,,,
,,,,,,,,,,Ccdc43,,,,Tceal8,,,
,,,,,,,,,,Cdyl,,,,Txndc12,,,
,,,,,,,,,,Commd7,,,,Ubn2,,,
,,,,,,,,,,Mrps36,,,,Pfkfb2,,,
,,,,,,,,,,Mcm4,,,,1700066M21Rik,,,
,,,,,,,,,,Camk2g,,,,Msantd4,,,
,,,,,,,,,,Mpp7,,,,Rap2c,,,
,,,,,,,,,,2410004B18Rik,,,,Zfp655,,,
,,,,,,,,,,Pvr,,,,Ube2n,,,
,,,,,,,,,,Jarid2,,,,Trmt2b,,,
,,,,,,,,,,Mars2,,,,Tcf12,,,
,,,,,,,,,,Ankzf1,,,,Bloc1s5,,,
,,,,,,,,,,Mr1,,,,Tmem167b,,,
,,,,,,,,,,Imp3,,,,Hmbox1,,,
,,,,,,,,,,Phtf2,,,,Tent4b,,,
,,,,,,,,,,Eef1akmt1,,,,Cnot2,,,
,,,,,,,,,,Gtf2h2,,,,Spp1,,,
,,,,,,,,,,Tpgs2,,,,Krit1,,,
,,,,,,,,,,Alg6,,,,Gnl2,,,
,,,,,,,,,,Prkn,,,,Epc2,,,
,,,,,,,,,,Ctnnal1,,,,Plekha5,,,
,,,,,,,,,,Sike1,,,,Eif4enif1,,,
,,,,,,,,,,Nup85,,,,Cpsf7,,,
,,,,,,,,,,Trmt5,,,,Ppp1r2,,,
,,,,,,,,,,Slc10a7,,,,Mbd2,,,
,,,,,,,,,,Fyb,,,,Wdr61,,,
,,,,,,,,,,Bmp2,,,,4930581F22Rik,,,
,,,,,,,,,,Utp14b,,,,Bmi1,,,
,,,,,,,,,,Plcb4,,,,Nub1,,,
,,,,,,,,,,Rab23,,,,Timm17a,,,
,,,,,,,,,,Nubpl,,,,Tdrd3,,,
,,,,,,,,,,E2f5,,,,Nbas,,,
,,,,,,,,,,Smyd1,,,,Tspyl1,,,
,,,,,,,,,,Zfp974,,,,Megf9,,,
,,,,,,,,,,Aph1b,,,,Mfsd4b1,,,
,,,,,,,,,,Thap6,,,,Dse,,,
,,,,,,,,,,Fmn1,,,,Nudt19,,,
,,,,,,,,,,2700097O09Rik,,,,Srsf3,,,
,,,,,,,,,,Enc1,,,,Parg,,,
,,,,,,,,,,Stk17b,,,,Zbtb38,,,
,,,,,,,,,,Bcl6,,,,Ube2i,,,
,,,,,,,,,,Ntn4,,,,Polr3a,,,
,,,,,,,,,,Igfbp5,,,,Sf3b6,,,
,,,,,,,,,,Per3,,,,Hsph1,,,
,,,,,,,,,,Ino80e,,,,Dhx40,,,
,,,,,,,,,,Ybey,,,,2210016F16Rik,,,
,,,,,,,,,,Il16,,,,Nbn,,,
,,,,,,,,,,Yars2,,,,Ints7,,,
,,,,,,,,,,Lrp12,,,,Naa25,,,
,,,,,,,,,,Utp15,,,,Rprd2,,,
,,,,,,,,,,Meis2,,,,Dcun1d3,,,
,,,,,,,,,,Syk,,,,Cln5,,,
,,,,,,,,,,Smpd4,,,,Trnt1,,,
,,,,,,,,,,Gab2,,,,Scyl3,,,
,,,,,,,,,,Spry1,,,,Tnks,,,
,,,,,,,,,,Adamts9,,,,Msl1,,,
,,,,,,,,,,Flvcr2,,,,Fez2,,,
,,,,,,,,,,Leprotl1,,,,Cd99l2,,,
,,,,,,,,,,Zfp512,,,,Mettl9,,,
,,,,,,,,,,BC024978,,,,Pcgf5,,,
,,,,,,,,,,Kctd2,,,,Tmem87b,,,
,,,,,,,,,,Zcchc9,,,,Il15ra,,,
,,,,,,,,,,Lin52,,,,Hif1an,,,
,,,,,,,,,,Ddx39a,,,,BC031181,,,
,,,,,,,,,,Lemd3,,,,Sik2,,,
,,,,,,,,,,D030056L22Rik,,,,Slc30a7,,,
,,,,,,,,,,Gtf2h3,,,,Usp22,,,
,,,,,,,,,,Irf2bpl,,,,Uhrf2,,,
,,,,,,,,,,Lamtor3,,,,Mettl6,,,
,,,,,,,,,,Ndufaf5,,,,Med1,,,
,,,,,,,,,,Zfp280b,,,,Clcn4,,,
,,,,,,,,,,Hcfc2,,,,Wdr13,,,
,,,,,,,,,,Cep95,,,,Lclat1,,,
,,,,,,,,,,Ube2e2,,,,Rmdn3,,,
,,,,,,,,,,Morc4,,,,4933434E20Rik,,,
,,,,,,,,,,Tango6,,,,Mycbp,,,
,,,,,,,,,,Bcorl1,,,,Golga3,,,
,,,,,,,,,,Dnaaf10,,,,Thada,,,
,,,,,,,,,,Zmym1,,,,Rbm4b,,,
,,,,,,,,,,Ikzf5,,,,Dnajc19,,,
,,,,,,,,,,Svip,,,,Pde4b,,,
,,,,,,,,,,Swap70,,,,Nvl,,,
,,,,,,,,,,Spata5,,,,Rprd1a,,,
,,,,,,,,,,Prickle2,,,,Ostc,,,
,,,,,,,,,,Uck2,,,,Ncoa6,,,
,,,,,,,,,,Rrp15,,,,Snx18,,,
,,,,,,,,,,Bend3,,,,Gm8883,,,
,,,,,,,,,,Malt1,,,,Tek,,,
,,,,,,,,,,Ccdc90b,,,,Rabggtb,,,
,,,,,,,,,,Ccdc88a,,,,Chm,,,
,,,,,,,,,,Cluap1,,,,Srsf10,,,
,,,,,,,,,,Zfp790,,,,Narf,,,
,,,,,,,,,,Nudt2,,,,Tmbim4,,,
,,,,,,,,,,1300002E11Rik,,,,Nrbf2,,,
,,,,,,,,,,Hs1bp3,,,,Cbx3,,,
,,,,,,,,,,Ppip5k1,,,,Mob4,,,
,,,,,,,,,,P2ry2,,,,Exoc4,,,
,,,,,,,,,,Rpap2,,,,Cops5,,,
,,,,,,,,,,Idua,,,,Fam126a,,,
,,,,,,,,,,Gbp4,,,,Rcor1,,,
,,,,,,,,,,Rassf5,,,,Tmem167,,,
,,,,,,,,,,Lonrf1,,,,Snx5,,,
,,,,,,,,,,Fzd1,,,,Acad9,,,
,,,,,,,,,,Polr3h,,,,Npepps,,,
,,,,,,,,,,Vhl,,,,Numb,,,
,,,,,,,,,,Cc2d2a,,,,Cadm1,,,
,,,,,,,,,,Grtp1,,,,Map4k5,,,
,,,,,,,,,,Zfp563,,,,Dnajb6,,,
,,,,,,,,,,Mapre3,,,,Sav1,,,
,,,,,,,,,,Filip1l,,,,Cep43,,,
,,,,,,,,,,Riok1,,,,Ercc5,,,
,,,,,,,,,,Clk2,,,,Gsto1,,,
,,,,,,,,,,Acot2,,,,Kmt5a,,,
,,,,,,,,,,Zfp229,,,,Cep68,,,
,,,,,,,,,,Rnf135,,,,Ccdc25,,,
,,,,,,,,,,Pstk,,,,Pank2,,,
,,,,,,,,,,Cers4,,,,Smad4,,,
,,,,,,,,,,Smoc2,,,,Mapk9,,,
,,,,,,,,,,Naa20,,,,Tbck,,,
,,,,,,,,,,Klf6,,,,Guf1,,,
,,,,,,,,,,Ints12,,,,Ilf3,,,
,,,,,,,,,,Slf1,,,,Agfg1,,,
,,,,,,,,,,Entpd1,,,,Rbis,,,
,,,,,,,,,,Hmgxb4,,,,Cops4,,,
,,,,,,,,,,Far1,,,,Albfm1,,,
,,,,,,,,,,Pdcd7,,,,Nhlrc3,,,
,,,,,,,,,,Ccl6,,,,Slc35f5,,,
,,,,,,,,,,Papolg,,,,Ddr2,,,
,,,,,,,,,,Lix1l,,,,Homer2,,,
,,,,,,,,,,Lrif1,,,,Rbm3,,,
,,,,,,,,,,Gtf3a,,,,Oma1,,,
,,,,,,,,,,Ro60,,,,Samd8,,,
,,,,,,,,,,Robo2,,,,Asnsd1,,,
,,,,,,,,,,Rev1,,,,Rin2,,,
,,,,,,,,,,Ovca2,,,,Rps6ka3,,,
,,,,,,,,,,Jmjd4,,,,Mpv17l,,,
,,,,,,,,,,Ankrd16,,,,Phactr2,,,
,,,,,,,,,,Amn1,,,,Map3k7,,,
,,,,,,,,,,Mlh1,,,,Dhx36,,,
,,,,,,,,,,Hcls1,,,,Faf1,,,
,,,,,,,,,,Ctcflos,,,,Dctn5,,,
,,,,,,,,,,Rhoq,,,,Steep1,,,
,,,,,,,,,,2310001H17Rik,,,,Ilkap,,,
,,,,,,,,,,Zfp84,,,,Akirin1,,,
,,,,,,,,,,Pomk,,,,Immp1l,,,
,,,,,,,,,,Ly75,,,,Crem,,,
,,,,,,,,,,AW209491,,,,Atp11a,,,
,,,,,,,,,,4921524J17Rik,,,,Tfb2m,,,
,,,,,,,,,,Mtrf1l,,,,Homer1,,,
,,,,,,,,,,Crlf3,,,,Zpr1,,,
,,,,,,,,,,Reck,,,,Cdc16,,,
,,,,,,,,,,Wipi1,,,,Epm2aip1,,,
,,,,,,,,,,Ppcs,,,,Glrx5,,,
,,,,,,,,,,Mbd5,,,,Pcm1,,,
,,,,,,,,,,Btg2,,,,Vma21,,,
,,,,,,,,,,Zbtb9,,,,Fzd4,,,
,,,,,,,,,,Anxa1,,,,Qrich1,,,
,,,,,,,,,,Psmd10,,,,Cul2,,,
,,,,,,,,,,Olfr1372-ps1,,,,Slc25a17,,,
,,,,,,,,,,Atp23,,,,Mlh3,,,
,,,,,,,,,,Rasa2,,,,Tnfrsf1b,,,
,,,,,,,,,,Aspa,,,,Gm20300,,,
,,,,,,,,,,D3Ertd751e,,,,Irf7,,,
,,,,,,,,,,Ddx20,,,,Pbx1,,,
,,,,,,,,,,Peg13,,,,Pogz,,,
,,,,,,,,,,Lhfpl2,,,,Fam114a2,,,
,,,,,,,,,,Caap1,,,,Foxp1,,,
,,,,,,,,,,Slc35e3,,,,Pgap1,,,
,,,,,,,,,,Zfp516,,,,Ppp1r7,,,
,,,,,,,,,,Leprot,,,,Psip1,,,
,,,,,,,,,,Cryzl1,,,,Oser1,,,
,,,,,,,,,,Scd2,,,,H2-Q4,,,
,,,,,,,,,,Mtm1,,,,Psmd5,,,
,,,,,,,,,,Thap4,,,,Cstf2,,,
,,,,,,,,,,Nrg4,,,,Ubr1,,,
,,,,,,,,,,Rpf2,,,,Ppig,,,
,,,,,,,,,,Smad7,,,,Hnrnpdl,,,
,,,,,,,,,,Dennd2d,,,,Gpd2,,,
,,,,,,,,,,Ano10,,,,Sub1,,,
,,,,,,,,,,Polr2h,,,,Mat2b,,,
,,,,,,,,,,Ddx55,,,,Fyttd1,,,
,,,,,,,,,,Apobec1,,,,Mrpl33,,,
,,,,,,,,,,Stxbp6,,,,Plekha3,,,
,,,,,,,,,,Hps4,,,,Mrpl39,,,
,,,,,,,,,,Maml2,,,,Hgsnat,,,
,,,,,,,,,,Hhip,,,,1110059E24Rik,,,
,,,,,,,,,,Fiz1,,,,Fam199x,,,
,,,,,,,,,,Rel,,,,Dock1,,,
,,,,,,,,,,Mitd1,,,,Mrps35,,,
,,,,,,,,,,Ears2,,,,Angel2,,,
,,,,,,,,,,Gm10658,,,,Gnpda1,,,
,,,,,,,,,,Asf1a,,,,Rbm4,,,
,,,,,,,,,,Nsmce1,,,,Utp14a,,,
,,,,,,,,,,Pdcd2,,,,Fnta,,,
,,,,,,,,,,Sirt5,,,,Mtmr9,,,
,,,,,,,,,,Rbm34,,,,Snx3,,,
,,,,,,,,,,Ubox5,,,,Ufm1,,,
,,,,,,,,,,Gimap9,,,,Clybl,,,
,,,,,,,,,,Hypk,,,,Stx16,,,
,,,,,,,,,,Phf11d,,,,Vps26c,,,
,,,,,,,,,,Ubac1,,,,Chd6,,,
,,,,,,,,,,Cttnbp2nl,,,,Cilk1,,,
,,,,,,,,,,Gucy1b1,,,,Mrpl16,,,
,,,,,,,,,,Pus3,,,,Etl4,,,
,,,,,,,,,,Tbc1d1,,,,Sf1,,,
,,,,,,,,,,Fbxo32,,,,Ube2j2,,,
,,,,,,,,,,Ipp,,,,Dpy30,,,
,,,,,,,,,,Jade2,,,,Peli1,,,
,,,,,,,,,,Rb1,,,,Zmat2,,,
,,,,,,,,,,Zup1,,,,Cecr2,,,
,,,,,,,,,,Atg16l2,,,,Btbd7,,,
,,,,,,,,,,Socs5,,,,Mapre1,,,
,,,,,,,,,,Ccr5,,,,Vwa5a,,,
,,,,,,,,,,She,,,,Zbtb41,,,
,,,,,,,,,,Rars2,,,,Arih2,,,
,,,,,,,,,,Arf2,,,,Phospho2,,,
,,,,,,,,,,Piga,,,,Arf6,,,
,,,,,,,,,,Topbp1,,,,Rasal2,,,
,,,,,,,,,,Cited2,,,,Ube2j1,,,
,,,,,,,,,,Tab3,,,,Relch,,,
,,,,,,,,,,Rab8b,,,,Tgfbi,,,
,,,,,,,,,,Rcor3,,,,Ccnd2,,,
,,,,,,,,,,Rcan2,,,,P2ry4,,,
,,,,,,,,,,Snhg12,,,,Atg4a,,,
,,,,,,,,,,Trim14,,,,Sec22a,,,
,,,,,,,,,,Golt1b,,,,Frs2,,,
,,,,,,,,,,Kifap3,,,,Ufd1,,,
,,,,,,,,,,Chd1l,,,,Zfp110,,,
,,,,,,,,,,Grk3,,,,Atp6v1e1,,,
,,,,,,,,,,Fam124a,,,,Heatr3,,,
,,,,,,,,,,Gsta2,,,,Acbd3,,,
,,,,,,,,,,Naa40,,,,Slc46a3,,,
,,,,,,,,,,Rtel1,,,,Xrn1,,,
,,,,,,,,,,Dis3l2,,,,Cwc15,,,
,,,,,,,,,,Abt1,,,,Zfp146,,,
,,,,,,,,,,Zfp975,,,,Brd8,,,
,,,,,,,,,,Zfp830,,,,Wbp4,,,
,,,,,,,,,,Flvcr1,,,,Adam17,,,
,,,,,,,,,,Zfp961,,,,Harbi1,,,
,,,,,,,,,,Plekhf2,,,,Timm29,,,
,,,,,,,,,,2810013P06Rik,,,,Dstyk,,,
,,,,,,,,,,Rassf6,,,,Wdr45b,,,
,,,,,,,,,,Etaa1,,,,Galnt1,,,
,,,,,,,,,,Itgb1bp1,,,,Klhl5,,,
,,,,,,,,,,Exosc9,,,,Sat1,,,
,,,,,,,,,,Zfp953,,,,Smarcc1,,,
,,,,,,,,,,Usp37,,,,Zfp715,,,
,,,,,,,,,,Lama1,,,,Skap2,,,
,,,,,,,,,,Ccl25,,,,Ate1,,,
,,,,,,,,,,Pde12,,,,Abhd15,,,
,,,,,,,,,,Carmil1,,,,Nsdhl,,,
,,,,,,,,,,Prdm9,,,,Rbsn,,,
,,,,,,,,,,Psmg2,,,,Rnpep,,,
,,,,,,,,,,Gmeb1,,,,Cnih1,,,
,,,,,,,,,,Tbc1d32,,,,Slc41a2,,,
,,,,,,,,,,9930111J21Rik2,,,,Sephs1,,,
,,,,,,,,,,Fam133b,,,,Tsc1,,,
,,,,,,,,,,Ophn1,,,,Pja2,,,
,,,,,,,,,,Parp2,,,,Esyt2,,,
,,,,,,,,,,Zfp758,,,,Senp6,,,
,,,,,,,,,,Foxp2,,,,Emc2,,,
,,,,,,,,,,Wdr35,,,,Fkbp3,,,
,,,,,,,,,,Dgat1,,,,Fryl,,,
,,,,,,,,,,Lyrm1,,,,Ginm1,,,
,,,,,,,,,,Zw10,,,,Clcc1,,,
,,,,,,,,,,Gtf2e2,,,,Ythdf2,,,
,,,,,,,,,,Maf1,,,,Ist1,,,
,,,,,,,,,,Cpne8,,,,Hdac3,,,
,,,,,,,,,,Sec22c,,,,Pan3,,,
,,,,,,,,,,Cd93,,,,Saa1,,,
,,,,,,,,,,Arhgap17,,,,Tsg101,,,
,,,,,,,,,,Max,,,,Spg20,,,
,,,,,,,,,,Tmem179b,,,,Rpain,,,
,,,,,,,,,,Plek,,,,Diaph2,,,
,,,,,,,,,,Pgm2l1,,,,Drg1,,,
,,,,,,,,,,Ccnk,,,,Sumo1,,,
,,,,,,,,,,Alg8,,,,Stx7,,,
,,,,,,,,,,Tgif1,,,,Tgfbr1,,,
,,,,,,,,,,Scnn1a,,,,Orc4,,,
,,,,,,,,,,Fbxo28,,,,Mdm2,,,
,,,,,,,,,,Tgtp1,,,,Ppp6c,,,
,,,,,,,,,,Fam118b,,,,Fnbp1l,,,
,,,,,,,,,,Zfp959,,,,Trmt10c,,,
,,,,,,,,,,Nsmce3,,,,Atp6ap2,,,
,,,,,,,,,,Stk39,,,,Thap12,,,
,,,,,,,,,,Rfx3,,,,Dpm1,,,
,,,,,,,,,,Ccbe1,,,,Adal,,,
,,,,,,,,,,Ccdc137,,,,Dnajb14,,,
,,,,,,,,,,Arhgef15,,,,Vezt,,,
,,,,,,,,,,Ercc4,,,,Slfn5,,,
,,,,,,,,,,Tlr4,,,,Ciao2a,,,
,,,,,,,,,,Xkr8,,,,Slf2,,,
,,,,,,,,,,Ankrd10,,,,Ercc6l2,,,
,,,,,,,,,,Rrnad1,,,,Uchl5,,,
,,,,,,,,,,Orc6,,,,Mthfs,,,
,,,,,,,,,,Zfand2a,,,,Ptk2,,,
,,,,,,,,,,Zfp235,,,,Rbbp6,,,
,,,,,,,,,,Csf2rb,,,,Slc25a32,,,
,,,,,,,,,,Gm10033,,,,Palmd,,,
,,,,,,,,,,Atrip,,,,Rbms1,,,
,,,,,,,,,,Exd2,,,,Rbbp9,,,
