FLT_cluster_01,FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14,FLT_cluster_15,GC_cluster_01,GC_cluster_02,GC_cluster_03,GC_cluster_04,GC_cluster_05,GC_cluster_06,GC_cluster_07,GC_cluster_08,GC_cluster_09,GC_cluster_10,GC_cluster_11,GC_cluster_12,GC_cluster_13,GC_cluster_14
Pcgf3,Maml1,ENSMUSG00000055820,1700084J12Rik,Crip2,Cchcr1,B230319C09Rik,Cog1,Gem,Rab18,Ctsl,Rnf26,Fxyd3,Serpina4-ps1,2010106E10Rik,Slc16a8,Gm5141,Eml3,Atg4c,Tbc1d15,Emp2,Sycp1,Eogt,Arl6ip1,4933404K08Rik,Uqcr11,Atp13a3,Naalad2,Rita1
Rnf145,H2-Ab1,ENSMUSG00000074259,Gm7854,C1rl,9930104L06Rik,Gm14496,Myg1,Slc25a14,Actr2,Vcp,Atp13a2,Nupr1,Sirpa,3425401B19Rik,1700028P15Rik,Cbfa2t3,Crip2,Anp32e,Rmdn1,Vps18,Mylk3,Caln1,Prxl2a,Olfr901,Ddrgk1,Akr1c6,P2ry13,Syt3
Ppil4,Fastkd3,Bdkrb2,Fkbp10,Prodh2,Slc7a8,Zfp300,Med22,Dancr,1810008I18Rik,Ctsh,Ppan,Zfp428,Cyp2b13,Gzmm,ENSMUSG00000033027,Fam83g,Trp53bp2,Prdm15,Ar,4933431E20Rik,Adcy2,Snora44,Rfk,Parpbp,Arel1,Apoe,Fbxl21,Fam110a
Ifngr2,Krba1,Dlk1,Rorb,Mrpl49,Lrp2,Adgrg2,Traf4,4833418N02Rik,Eif3a,Aldh1a1,Sirt4,Snora62,Serpina1e,Dusp27,Radx,Faap24,H2az2,Ifrd1,Klhl2,Slc1a4,Plaur,Arl6ip6,Herc4,Pirt,G0s2,Hp,1190007I07Rik,Adgrg1
Saa2,Poglut2,Olfr640,Cds1,Cltb,Cyren,Olfr31,Ghdc,Slc25a24,Ankhd1,Lypla1,Fam214b,Aspn,Prg4,Wnt9a,C130071C03Rik,Pik3cg,Hdac6,Rhobtb3,Hsd3b2,Gm15417,Lrp2,Cep83os,Tpp2,Nup210l,Apeh,Wbp1l,Camk2b,Thap3
Depdc5,Adcy7,D630023F18Rik,Fcho1,Fads6,Adam19,Traf1,Foxk2,Snora3,Ddx1,Chp1,Tnip1,Plppr3,Smad9,Lrrc2,Gm20750,Mterf1b,Mrpl49,Gbp3,Efcab14,Prr12,Pdgfb,Rpp40,Thrb,Olfr1202,Epn1,Dcn,Pvt1,Asb2
Cmas,Fzd6,ENSMUSG00000004542,Glb1l2,Chchd10,Arid3b,Slamf7,Wars,Tc2n,Fam91a1,Apoh,Dip2a,Ptgis,Tspan4,Wfdc12,ENSMUSG00000055820,Zfp775,Cltb,Tra2a,Ythdc1,Cadm3,Ppp1r3f,Abcg3,Copb1,4930578M01Rik,Gps1,Hal,Lratd1,Frs3
Skil,Zfp560,Eef1akmt3,Sh3rf3,Kdm4a,Sh3bp1,Vmn1r61,Tbl2,Nlrp1c-ps,Afg3l2,Fetub,Cbx2,Fut2,C730036E19Rik,Spata33,ENSMUSG00000074259,Ell3,Fam102a,Celf2,Rnf139,Tmem41a,Ltb4r2,Zbtb26,Lnpep,Il31ra,Atf5,Ephx1,2900076A07Rik,Nfkbil1
Dusp3,Rpa3,ENSMUSG00000046846,Adam8,Cenpb,Snx32,Sema3a,Tmem161a,Zfp995,Nufip2,Cfi,Fam220a,Slc2a6,Srgap3,Hebp2,Bdkrb2,Zfp287,Kdm4a,Txndc16,Usp33,Olfml3,Trpc7,Donson,Ak4,C1qtnf3,Qprt,Klkb1,Rag2,Tbxa2r
Ankle2,Snapc1,ENSMUSG00000042801,C1qtnf12,Stk11,Lmo2,1500015A07Rik,Rgs3,Gm10845,Ell2,Saa4,Rce1,4933409K07Rik,Stap1,Mpz,Dlk1,Sema6c,Ccdc186,Pde7a,Ccnl2,Psph,Syt4,Mup16,Hnrnph1,2700089I24Rik,Tbc1d9b,Mat1a,Map2,Fbxl15
Ncoa3,Sfswap,Trim50,Spag4,Aup1,Cnr2,C130026I21Rik,Bak1,Cenpw,Rnf4,Scarb2,Dysf,Olfr876,Hopx,Fbp2,Olfr640,1110028F11Rik,Prkca,Rad17,Ube2z,Slc41a1,Cd248,Bcl2,Cebpg,Prl2c3,Suds3,Ddx3x,3110056K07Rik,Slc39a5
Plbd1,Tap1,Dock3,4930405J17Rik,Mrpl12,Cd248,Fbxl2,Naa80,Proser3,Picalm,Nat8f2,Entpd6,Cel,Vldlr,Tmem40,D630023F18Rik,Klf1,Rufy1,Sgf29,Ppp2r5c,Adat1,Ddx25,Ttc39c,Ccni,Olfr433,Ormdl3,Rbp4,Raet1d,
Nemf,Cep83,Gm10653,Olfr270,Tmem120a,Fxyd5,Styk1,Ssh1,Brms1l,Usp34,Atp13a3,Igsf8,Adap1,Idi1,Esrp1,ENSMUSG00000004542,Jdp2,Axl,Brpf3,Fbxw2,Cntrob,ccdc198,Serpine2,Cmpk1,Dmbx1,Nsmf,Aldh8a1,Slc16a9,
Chst15,Lyplal1,Ttc30a2,Zfp688,Actg1,Mansc1,Ebf1,Tmem186,H3c14,Slk,Akr1c6,Dedd2,Mybpc2,Acmsd,Tnni1,Eef1akmt3,Runx2,Rhob,Zgpat,Ago3,S1pr3,Mansc1,A430033K04Rik,Itpr1,Vmn2r100,Samm50,Iigp1,Rsad1,
Fkbp1a,Map3k21,ENSMUSG00000099139,Olfr1325,Dhrs1,Wnt2,Stk36,Zer1,Dtwd2,Pdhb,Apoe,Tcf3,Lrrc46,Mug-ps1,Nlrp10,ENSMUSG00000046846,Aatk,Cux1,Ptpn4,Tmem234,Lamb3,Hsd3b1,Cyba,Bag1,Olfr853,Plin5,Etfdh,Slc22a28,
Kdm6a,Klhl20,ENSMUSG00000033498,Plaur,Zfand3,Cyb5r1,Kcnmb1,Camta2,Sema5a,Arhgap29,Atp5l,Isg15,Adcy10,A1bg,Mab21l4,Dpep2,Vmn2r60,Dnajc16,Hat1,Slc30a4,Pfkp,Knstrn,Tmem42,Fggy,Clec4e,Cldn2,Slco1b2,Isoc2b,
Luc7l3,Trappc4,ENSMUSG00000096965,Pdgfb,Idnk,Fmnl1,Vsx2,Cdk2ap1,Gm10516,Oip5os1,Cfhr1,Fuz,Tcap,Churc1,Apobec2,ENSMUSG00000042801,A630001G21Rik,Plrg1,Afg1l,Pdpr,Nmnat3,Alpk3,Mup17,Polr2m,Mag,Fkbp4,Hacl1,Zfp9,
Tomm22,Tefm,Slc44a5,Tnip3,Selenow,Was,Mmp12,Tmem222,Cd209c,Gnpnat1,Hp,Mrtfa,Txlnb,Sucnr1,Myot,Ckmt2,Fam241a,Nmnat1,Pip5k1a,Gm14391,Ikbip,Mfap5,Trim30d,Clip1,Vmn1r82,Rps8,Lactb2,9330159M07Rik,
Zmym4,Atg4c,Triml2,Ppp1r3f,Tuba4a,Knstrn,Ipcef1,Bicd2,Myct1,Psma1,Wbp1l,Slc45a4,Nbl1,Fmo4,Mrgprf,Trim50,Map3k15,Idnk,Kri1,Sptssa,Trip6,Srrm3,Tnfsf10,Papola,Brd8dc,Naxd,Birc6,C730002L08Rik,
Thyn1,Dgkh,Doc2b,Dbn1,Slc35e1,4933431E20Rik,Zfp449,Triap1,A730017L22Rik,Vcpip1,Dcn,B4galt7,Il36g,Lsm7,Gm16063,Dock3,C920021L13Rik,Ptges2,Prps2,Ganc,Noc4l,Plxna4os1,AU041133,Gng5,Vmn2r75,Rreb1,Atp1a1,Zfp667,
Arhgef26,Anp32e,Zfp286,Trpc7,Pcdh1,Synpo2,Gm12359,Pex11b,H2bc13,Slc19a2,Gfra1,H1f3,4930568G15Rik,Cops9,Sh3bgr,Clps,Zfp7,Cxxc5,Itga4,Eloc,Oas1a,Frem2,Slfn8,Arcn1,2810433D01Rik,Clptm1,Aco2,A2ml1,
Seh1l,Prdm15,Ucp1,Arhgap26,Ecsit,Col8a1,Vmn1r28,Phc2,Cacna2d1,Apc,Hal,Sgsh,Cyp2s1,Rdh16f2,Duox1,Ttc30a2,Klrd1,Dpp7,Nedd1,Ddhd2,Col6a2,Cdh3,Lyz2,Plaa,Vmn2r10,Gtf3c1,Cnot1,Lad1,
Rbpms2,Mtres1,ENSMUSG00000113593,Syt4,Fam234a,Vstm4,Ly6c2,Smyd2,Cebpd,Kpna1,Rpl32,Plekha7,Cela3b,Nt5e,Klk8,Tshb,Ntrk3,Ecsit,Zdhhc16,Pam,Wnt5b,P2rx3,Gm15446,Utrn,E230016K23Rik,Tuba1b,Slc25a13,Capn8,
Pdcd6,Zfp846,ENSMUSG00000115230,Ddx25,Tbc1d2b,Slc1a4,Usp17la,Npr1,Naip6,N4bp2l2,Klkb1,Rrp12,Kcne3,Akr1c19,ENSMUSG00000037129,Olfr133,Slc25a29,Abhd17a,Coa4,Pdhx,Snx21,Clcf1,Mrpl53,Colec12,Rasl12,Rab5c,Itm2b,2200002D01Rik,
Marveld1,Rhobtb3,ENSMUSG00000020799,Nptx1,Col4a1,Cdh3,Olfr1202,Rab24,H2bc15,Etnk1,Mat1a,Limk2,BC021767,Abcd2,Cavin4,ENSMUSG00000099139,Mks1,Blcap,Esco1,Mrps33,Axin2,Sebox,Prkg1,Chmp3,Olfr263,Slk,Nudt14,F630028O10Rik,
Tlk2,Zfp839,Tnk2os,Plag1,Ndufa8,Rap1gap2,Gm13944,Ebna1bp2,Bcl6b,Ccny,Ddx3x,Sf3a2,Zxda,Dynlt1b,Actc1,ENSMUSG00000033498,Apobr,Pepd,Msh6,Gtf2h5,Plpp2,Ggt7,Aqp4,Eif1a,Olfr293,Ninj1,Pigr,Zfp456,
Prepl,Zfp612,Gm4265,Srrm3,Pepd,Pinx1,Fsbp,Snrpa,P2ry14,Ildr2,Rbp4,AI837181,Kank4,Trp53inp1,Cox8b,ENSMUSG00000096965,AV039307,Cib1,Klhl13,Lurap1l,Tmem144,Stk36,Rpl36,Hipk1,Slc14a1,Hectd3,Rdh7,Ugt2b38,
Naa15,Usp28,Abcc12,Plxna4os1,Tmem234,Olfml3,Cd247,Cc2d1b,AI506816,Erap1,Aldh8a1,Asb6,Rnf227,Anp32b,Ly6g6c,Slc44a5,Olfr1423,Sharpin,Hltf,Usp45,Ubald1,Ptpru,Zfp976,Timd2,Ypel4,Dpp3,Sephs2,Spag1,
Cse1l,Txndc16,Mmel1,Frem2,Cib1,H2bc21,Brdt,Uaca,Snora5c,Pdcd6ip,Iigp1,Sf3b4,Ttc34,Cyp7b1,Jag2,Gp2,Atp6v0e2,Sorbs3,Inpp5k,Fam162a,Clstn1,Kdf1,Synpo,Gzf1,Alkbh3os1,Rps16,Gabarapl1,Etohd2,
Pou2f1,Pde7a,ENSMUSG00000061614,Spsb1,Mlycd,Slc41a1,Saxo2,Il17rc,E2f7,Dld,Etfdh,Ubtd1,Vcan,H4c3,Sectm1b,Triml2,H2-M3,Rela,Lum,Rsf1,Shank3,Pcdhga11,Gyg,Atl3,Vmn2r107,Kdm5c,Bhmt2,Tfec,
Fbxl5,Rnasel,Syn2,Hnf4g,Rela,E2f1,Ptgfr,Apex1,Pnpla1,Cul1,Slco1b2,Smtn,Tspan8,Snord104,Jph2,4930570G19Rik,C1ql3,Abhd12,Polr1h,Pi4k2b,Vmac,Melk,Gngt2,Rab18,Slc15a1,Rnf187,H2-D1,Nat1,
Fbxo11,Ncoa7,1700105P06Rik,P2rx3,Fgfrl1,Sema5b,Zfp579,Pfdn6,Zfp882,Rap1b,Hacl1,5730409E04Rik,Epop,Mup15,Chl1,Zfp286,Hmmr,Trim12c,Uxt,Crybg3,4833418N02Rik,Gm12359,Zfp39,Actr2,Ffar1,Fuca1,Cpn2,2810403D21Rik,
Fam149b,Atp6v0d2,Olfr974,Clcf1,Ttc39c,Smn1,Olfr1160,Rfxank,A530088E08Rik,Ccdc50,Lactb2,Bcl3,Fndc1,Polr2i,Kcnq4,Ucp1,BC035044,Fgfrl1,Snx17,Srrm1,Rundc1,H2ac21,Fkbp14,1810008I18Rik,Hepacam2,Numa1,Sec14l2,9430037G07Rik,
Ifrd1,Spindoc,Rsph1,6030440G07Rik,Bag1,S1pr3,Mccc1os,Atg101,Pak1,Slc16a10,Birc6,Srf,Retn,Snord17,ENSMUSG00000030510,ENSMUSG00000113593,Fkbp10,Mppe1,Dynll1,Sdhaf2,Slc25a33,Apol11b,Zfp995,Xrn2,Myh7,Eef1d,Kng1,Elmo1,
Nxf1,Hat1,ENSMUSG00000030268,Mexis,Cdc34,Lamb3,Vmn2r10,Czib,AI662270,Golph3,Atp1a1,Cc2d1a,BB123696,Guk1,Dnm1,Chrna1,Hsd17b14,Phactr4,P3h1,Arid4b,Il10ra,Pira2,Cmtm3,Fh1,4930474N05Rik,Mdh2,Kif1b,Lama3,
Zfp869,Afg1l,Spo11,Dusp18,Polr2m,Pfkp,Vmn2r73,Tbrg4,Gm1976,Pdpk1,Slc25a13,Ogfod2,Synpo2l,Etfbkmt,Myo18b,ENSMUSG00000115230,Skida1,Rap2a,Zfand1,Casd1,Trex1,Gm13944,Slc25a36,Rpl30,Six6,Dhcr7,Hdlbp,Snora81,
Gbp3,Pip5k1a,Gm4791,Lox,Uqcr11,Dagla,Vmn1r216,Zfp768,Hyls1,Serbp1,Itm2b,Ptdss2,Mfap4,Slc35d2,Col11a2,ENSMUSG00000020799,Adamts12,Dpagt1,Yeats2,Dync1i2,Mettl22,Nodal,Poc5,Ankhd1,Grip1,Ilk,Retsat,Pcdh7,
Tra2a,Prps2,ENSMUSG00000027209,Nxpe5,Ddrgk1,Nek8,Vmn1r77,Ikbke,Itgb3bp,Ubxn7,Ndufa4,Tmem98,Snord14d,Mup10,Hspa1a,Tnk2os,9130019P16Rik,Cog1,Sema6a,Becn1,Tada2a,Xcl1,Ror1,Ddx1,Olfr739,Rnh1,Txndc5,,
Celf2,Itga4,Ssxb5,Ggt7,Arel1,Slc5a1,Lrrc39,Setd1a,Olfr907,Slc30a9,Nudt14,Rpusd3,Ihh,Slc66a1,Cbr2,Gm4265,Trerf1,Cdc34,Trim30a,Tpd52l2,Mvd,Mogat1,Prkx,Fam91a1,Cenpp,Rnf125,Rpl6,,
Rad17,Tomm34,ENSMUSG00000009070,Olfr392,Abcf3,Cyba,Cd28,Ctsf,Vmn1r46,Nr5a2,Pigr,Irf2bp1,Dnai3,Gbp11,Lrrd1,Icam4,B3galnt1,Psmb9,Thap11,Sfmbt1,Zfp511,Plekhn1,Zfp791,Afg3l2,Fgfbp3,Idh3g,Ugt2b34,,
9930021J03Rik,Zfp467,Eya2,Sidt1,Lamc1,Kdf1,Sox17,Gadd45gip1,Zfp59,Naa50,Rps17,Slc2a8,Map6,Tmsb4x,Casq1,Abcc12,Rsph4a,Mxi1,P4ha1,Metap1,Fbf1,Pkd1l3,Fcgr3,Nufip2,Zfp583,Anp32a,Mtus1,,
Habp4,Zfp873,ENSMUSG00000111232,Olfr806,Slc29a1,Ikbip,Gm10767,Rbm14,Klhl4,Setx,Cyp4a14,Npm3,Lmod1,Abcb1a,Fndc9,Mmel1,Tjap1,Inhba,Sde2,Rps2,Zfp750,Lax1,Kpna2,Eif3h,Csmd1,Rtf2,Slc25a5,,
Ptpn4,Psmg4,Slc7a13,Pcdhga11,Pgd,Rhbdf1,6720489N17Rik,Nt5c,Ccne2,Cct2,Rdh7,Slc5a6,Musk,Alad,ENSMUSG00000019359,ENSMUSG00000061614,Aldh1l2,Abcf3,Rsrc1,Stx17,Mrps11,Slco1a6,Calcrl,BC005537,Npy1r,Ranbp10,Crp,,
Srek1,Nedd1,Kcnj6,9130008F23Rik,Apeh,Oas1a,Olfr802,Tmem223,1700018L02Rik,Ap1g1,Rpl38,Cbx7,Nkx6-1,Acot1,Aqp3,Syn2,Lrp2bp,Lamc1,Chic2,Plcb1,Syne3,Mylpf,Cyp2j9,Ell2,Vmn2r44,Spr,Echs1,,
1600012H06Rik,Zdhhc16,ENSMUSG00000054204,Melk,Epn1,Gcnt7,Olfr920,Nop56,1810010H24Rik,Tomm20,Sephs2,Niban2,Dnase1l2,Bid,Fam83a,1700105P06Rik,Tal1,Pgd,Lysmd1,Dnajc7,Phldb1,Nlrp1c-ps,Miga1,Cox6b1,Olfr167,Fis1,Sult1d1,,
Ccdc186,Homez,Slc35f3,Apol11b,Polr2l,Mpzl1,Arhgap11a,Antkmt,Prkab2,Mapk1ip1l,Gabarapl1,Sema4b,Snora47,Zfp970,Asb11,Olfr974,Spindoc,Tk2,Myg1,Hdhd2,Snx15,Ctrl,Dtwd2,Rnf4,Snap91,F7,Ubr4,,
Pias2,Coa4,Klra7,Olfr901,Gps1,Zscan2,Cct6b,Ccar2,Slc34a2,Acot4,Bhmt2,Jpt1,Tnni2,Eno1b,Lor,Stra8,Spag4,Med22,Erh,Sugt1,Vps37c,Zfp579,Arhgef6,Etnk2,Svopl,Irak1,Slc25a47,,
Trappc11,Pkig,Gm20756,Parpbp,Atf5,Wdr25,Mcm8,Slc6a9,Gm16023,Raph1,Rps12,Gpr137,Ak1,Snora74a,Mas1,Rsph1,Racgap1,Polr2l,Actr6,Map2k1,Camta2,Pidd1,Zfp938,Picalm,Olfr1,Phb2,F5,,
Prxl2a,Msh6,ENSMUSG00000004791,Pirt,Eif3g,Dok5,Osbp2,Smad3,Rgs1,Ugt3a1,H2-D1,Mark4,Sbsn,Mt2,Muc15,ENSMUSG00000030268,Zfp90,Syf2,Trmt2a,Mecp2,Tsen34,Myh7b,Cep152,Usp34,Cacna2d3,Ssr2,Son,,
Gpc4,Eogt,Cd177,Nup210l,Qprt,Ssbp4,Samsn1,Slc39a4,Lipt2,Fmo2,Cpn2,Sesn2,Tchh,Rpl28,Gm15612,Spo11,Gys1,Traf4,Zfp971,Ube2v2,Mcm2,Nalf2,Gm14295,Uqcrh,Pcsk2,Fkbp8,Slc27a5,,
Abhd18,Rhob,H2bu2,4930578M01Rik,Anapc2,Tcf19,Gm5111,Grk6,Ada,Hp1bp3,Sec14l2,Med11,Krt19,Serpina11,ENSMUSG00000043430,Gm4791,Zfp105,Foxk2,Tatdn1,Mtmr2,Dync2i2,Gm10532,Commd10,Pdhb,Nrip3,Mtfr1l,Hmgcs2,,
Esco1,Caln1,Snorc,Nodal,Tbc1d9b,Pira2,Vmn2r69,Unc93b1,Zbtb25,Lrba,Kng1,Galnt10,Pdlim3,Cyp2d9,Whrn,Myoz3,Pkib,Tbl2,Arsb,Arpc4,P3h3,Psmc3ip,Katnbl1,Arhgap29,Spata9,Trim56,Rps6,,
Tbc1d15,Klhl13,ENSMUSG00000000690,Il31ra,Suds3,Il10ra,Dtl,Nolc1,Tpm2,Top1,Kif1b,Rex1bd,ENSMUSG00000044041,H2-Q6,Gm6614,ENSMUSG00000027209,Plppr2,Scaf4,Trit1,Dnaaf9,Fzr1,Shisa8,Fbxo4,Oip5os1,1700016L21Rik,Ikbkb,Hsd17b4,,
Rmdn1,Arl6ip6,Cer1,C1qtnf3,Ormdl3,Gpatch3,Sftpd,Fam25c,Crym,Ammecr1l,Hdlbp,Slc39a13,Nol3,Vnn1,Prss2,Ssxb5,Cchcr1,Eif3g,Ghdc,Desi2,Itfg2,Kif2c,Myct1,Gnpnat1,C430049B03Rik,Asgr2,Baat,,
Ar,Rpp40,Bmerb1,Xcl1,Zfp646,Gngt2,Nxpe3,Ppox,Zc3h12d,Lpp,Retsat,Orai1,Cavin3,Nfil3,Car12,ENSMUSG00000009070,Styxl1,Hlcs,Wars,Trak2,Ptprs,Smim5,A730017L22Rik,Psma1,Asb4,Gsta4,Myh9,,
Klhl2,Inpp5k,ENSMUSG00000001076,2700089I24Rik,Dgkz,Cys1,Vangl2,Bag3,Dync2i1,Spop,Rpl6,Ap5s1,Tmprss4,Pyroxd2,Osr1,Eya2,Cpeb1,Anapc2,Cyp4f17,Camk2n1,Saysd1,Cdca7l,L3mbtl3,Lypla1,4933439K11Rik,Grhpr,Proc,,
Cux1,Lum,Erv3,Prl2c3,Nsmf,Dll1,Cdc7,Itpk1,Grk1,Yy1,Atp5j,Slc50a1,Fsd2,Elovl3,Bves,ENSMUSG00000111232,Snhg16,Amigo2,Arsk,Fbxo22,Ctdspl,Snhg9,Lpcat1,Chp1,Olfr592,Snx9,Apoa1,,
Hsd3b2,Polr1h,Cckar,Olfr433,Samm50,Zfp511,Nmnat2,Ntn1,Itgax,Atp2c1,Ugt2b34,Dapk3,Myh8,Scarna6,Myoz2,Slc7a13,Olfr49,Rgs3,Zfp866,Clns1a,Brms1l,Cdc42ep5,Serf1,Vcpip1,Slc6a17,Acsf2,Rpn2,,
Plrg1,Uxt,Tarm1,Dmbx1,Hdhd2,Mogat1,Olfr446,Vat1,BC028528,St6gal1,Mtus1,Pradc1,Col17a1,Samd9l,Hspb7,Kcnj6,Zfp688,Asap1,Tmem161a,Kcnk5,Tnfrsf14,Vwa1,Map2k6,Slc19a2,Nwd2,Map2k3,Sdc4,,
Hltf,Emp2,Mcub,Vmn2r100,Plin5,Ankrd13b,C430049B03Rik,Mpi,Snhg3,Cnot1,Slc25a5,Lrwd1,Plekha4,Ndufb4,Crhr2,ENSMUSG00000054204,Thsd4,Zfp646,Pphln1,Marchf2,Smco4,Fbxl22,Alkbh1,Apc,Kctd14,Elob,Apoa5,,
Efcab14,Snx17,ENSMUSG00000097262,Olfr853,Cldn2,Klhdc8a,Gm15708,Mrps34,Rnf150,Nab1,Crp,Plekhh3,Pira12,Serpina3c,Mylk2,Slc35f3,Slc7a8,Naa80,Mpzl3,Atp9b,Rassf2,Nckap5l,E130311K13Rik,Kpna1,Itgb1bp2,Pmpca,Mpc1,,
Mccc1,Zbtb26,ENSMUSG00000039546,Pkd1l3,Fkbp4,Rab7b,Tril,Pbxip1,Sgcb,Atf6,Echs1,Htra2,Myl3,Neil2,Grin3b,Gm20756,Olfr147,Ssh1,Zfp426,Pfdn1,Il17rc,Pigz,Tdg,N4bp2l2,Olfr23,Ssrp1,Gclc,,
Ythdc1,Yeats2,Clec2g,Clec4e,Adcy9,G6pc3,Phkg1,Csrp3,Col5a3,Stard5,Sult1d1,Hspbp1,Pax8,Tiam2,Sncg,ENSMUSG00000004791,Gm6377,Wasf2,Fzd5,Cask,Bambi,Lgi2,Bace2,Etnk1,Gm14634,Rps26,Ly6e,,
Rnf139,Sema6a,Olfr1313,Lax1,C77080,Cdnf,Lrrtm2,Rin3,Ms4a6b,Bptf,Ubr4,Slc52a2,Plat,C6,Slurp1,Cd177,Adam19,Dgkz,Vim,Exoc6,Rfxank,Mybl2,AI506816,Snx2,4930429F24Rik,Mink1,Serping1,,
Usp33,Trim30a,Olfr487,Mag,Naxd,Tle2,Gm13483,Cdk11b,Hspa2,Ap3m1,Slc25a47,Pdzrn3,Hhipl2,Nr1d1,Kcna1,H2bu2,Dbn1,Extl1,Setd7,Uba3,Col5a2,Osbp2,Camta1,Ccny,Olfr691,Prpf6,Rpl17,,
Cxxc5,Thap11,ENSMUSG00000048764,Vmn1r82,Brap,Pidd1,Gm15987,Hemk1,Gucy2c,Sf3b1,F5,Ogfod3,Gm13889,Mup2,Trim72,Snorc,Arid3b,Sntg2,Mcts1,Tmcc1,Camsap3,Gm5111,Sh3kbp1,Ildr2,Olfr1271,Atox1,Gpx1,,
Ccnl2,P4ha1,ENSMUSG00000065560,Brd8dc,Arpc4,Cntf,Olfr1221,Smim12,Bbs5,Adam9,Son,Rfx1,Gm16008,Mthfr,Mlip,ENSMUSG00000000690,B230319C09Rik,Acp6,Bak1,Ptpmt1,Sufu,Dipk1b,Sccpdh,Erap1,Vwa3a,Ube2v1,Cald1,,
Ube2z,Tmem41a,9330117O12Rik,Npl,Ftsj3,Rai2,Platr10,Ppp1r8,Sytl2,Pon3,Slc27a5,Dmap1,Anxa8,Tymp,Cpa3,Rab25,Gm14496,Zer1,Csgalnact2,Ubxn2a,Piezo1,Adcyap1,Zfp882,Ero1b,Gm14461,Taldo1,Pklr,,
Ppp2r5c,Bcl2,ENSMUSG00000039543,Vmn2r75,Epha2,Mcm2,Gja8,Rnf25,Prkcb,Zfp445,Hmgcs2,Trmu,Pkp1,Ltbp4,Npy,Cer1,Zfp300,Cdk2ap1,Ubqln2,Mfsd4a,Osbpl5,Gata2,Tsen15,Pdcd6ip,4921507P07Rik,Sema4a,Nipsnap1,,
Zfand1,Sde2,Olfr1366,Gm10532,Keap1,Cd37,Cfap43,Rhod,Sall2,Pbld2,Rps6,Zfp219,Gm10804,Ndufa11,Epn3,Bmerb1,Adgrg2,Tmem222,Tmem186,Gas2,Mrm2,Sftpd,Cyp2c38,Atp5l,Olfr322,Bptf,Wfdc21,,
Fbxw2,Mppe1,Olfr653,Fndc7,Nudcd3,Pde8b,Usp29,Rbm42,Cdcp1,Ptgr2,Hsd17b4,Crybg2,Ckm,Ccnf,ENSMUSG00000074199,ENSMUSG00000001076,Snx32,Bicd2,Iftap,Sltm,Pgs1,Cyp4f18,AI662270,Cfhr1,Wbscr25,Acnat2,Pabpc1,,
Ago3,Chic2,4930486L24Rik,2810433D01Rik,Eif3h,Dync2i2,Nap1l3,Mtx1,Ptpn22,Zadh2,Baat,Emilin2,Snora61,Ifi27l2a,Col7a1,4930405J17Rik,Olfr31,Pex11b,Pknox1,Zfp36l2,Hapln4,Ankrd23,Cep162,Dld,Gm11110,Agpat2,Ugt2b5,,
Slc30a4,Nmnat3,ENSMUSG00000041193,E230016K23Rik,Ext2,Flt3l,Slc24a5,Slc12a4,Ctse,Zfp871,Proc,Tfeb,Spef1,Sult2a7,Olfr1388,Erv3,Olfr45,Adcy9,Manba,Pak1ip1,Plekhh2,Htra3,Bicd1,Cul1,9630013A20Rik,Nfs1,Serpina1b,,
Pdpr,A430033K04Rik,Grm1,Rasl12,Rreb1,P3h3,4921507P07Rik,Tgfa,9530026P05Rik,Ide,Apoa1,Unk,Myl1,Cyp2c69,Chrdl2,Cckar,Rmi2,Lig3,Ctns,Nup155,Ripor1,Cfap126,Gm1976,Rap1b,Mir7-1,Mtch1,Cmah,,
Abhd12,Tmem42,Csrnp3,Olfr263,Clptm1,Blnk,Vmn1r197,Rp9,Ube2u,Iars2,Sdc4,Gtf2h4,Apbb1,Gbp10,Serpinb2,Tarm1,Wnt2,Phc2,Zkscan5,Rnf185,Iqce,Zfp503,Hyls1,S100a1,1700001D01Rik,Dpp9,Sdc1,,
Trim12c,Erh,9430021M05Rik,Olfr293,Emc10,Prr5l,Olfr102,Rps6kb2,Bloc1s4,Atp2b1,Apoa5,Dxo,Ccl19,Rpl39,Epdr1,Olfr270,Fmnl1,C77080,Prkra,Adap2,Gga3,E330020D12Rik,Ackr4,Mapk14,Olfr1167,Kdelr1,Rpl19,,
Rsrc1,Actr6,ENSMUSG00000042371,Slc14a1,Sin3b,Cx3cr1,Syt15,Thoc3,Casp1,Mme,Mpc1,Prmt1,Noxa1,Gpat3,Rtl8c,Mcub,Traf1,Smyd2,Zfp738,Anxa4,Pnpla1,Nacad,Taf1a,Ccdc50,Rnf17,Fam32a,Calr,,
Gm14391,Tnfsf10,Vmn1r67,Kif2c,Nop53,Smco4,B230216N24Rik,Ptpn6,Bend4,Sec23a,Gclc,Fhip2b,Fam83f,Cyp2b9,Eno2,ENSMUSG00000097262,Was,Npr1,Triap1,Srpk1,Tbc1d10a,H2bc15,Itgb3bp,Cpped1,Olfr1406,Slc25a23,Ranbp2,,
