gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000095312	1	0	5	0
ENSMUSG00000062960	17	0	13	3
ENSMUSG00000021381	1	0	5	0
ENSMUSG00000022155	1	0	5	0
ENSMUSG00000058407	16	0	8	7
ENSMUSG00000025077	0	0	17	11
ENSMUSG00000044243	1	0	5	0
ENSMUSG00000026626	3	0	10	9
ENSMUSG00000051497	5	0	18	6
ENSMUSG00000052384	14	0	7	4
ENSMUSG00000057110	16	0	8	7
ENSMUSG00000025920	19	0	7	4
ENSMUSG00000036091	9	0	18	2
ENSMUSG00000038583	6	0	23	10
ENSMUSG00000033106	19	0	17	4
ENSMUSG00000019877	12	0	10	9
ENSMUSG00000058028	1	0	5	0
ENSMUSG00000055820	4	0	14	1
ENSMUSG00000074259	4	0	14	1
ENSMUSG00000029201	17	0	13	3
ENSMUSG00000021572	2	0	24	8
ENSMUSG00000021070	4	0	21	1
ENSMUSG00000110253	1	0	5	0
ENSMUSG00000073002	8	0	15	12
ENSMUSG00000050677	4	0	6	1
ENSMUSG00000033436	6	0	23	10
ENSMUSG00000031982	5	0	0	6
ENSMUSG00000115609	1	0	5	0
ENSMUSG00000021728	2	0	24	8
ENSMUSG00000040856	4	0	21	1
ENSMUSG00000064899	15	0	23	13
ENSMUSG00000108827	2	0	24	8
ENSMUSG00000060030	1	0	5	0
ENSMUSG00000032033	1	0	5	0
ENSMUSG00000006998	3	0	10	9
ENSMUSG00000029463	5	0	0	6
ENSMUSG00000043831	14	0	1	4
ENSMUSG00000021241	0	0	17	11
ENSMUSG00000039518	1	0	5	0
ENSMUSG00000055811	1	0	5	0
ENSMUSG00000060044	2	0	24	8
ENSMUSG00000005882	16	0	8	7
ENSMUSG00000022853	12	0	10	9
ENSMUSG00000031511	16	0	2	7
ENSMUSG00000066262	4	0	21	1
ENSMUSG00000044816	4	0	21	1
ENSMUSG00000109058	4	0	21	1
ENSMUSG00000019194	11	0	0	6
ENSMUSG00000056296	9	0	4	2
ENSMUSG00000032269	1	0	5	0
ENSMUSG00000019791	0	0	8	11
