tissue	atlas_tissue	compartment	atlas_cells	rank	gene_id	atlas_log2cpm	specificity_log2_fold
liver	liver	endothelial	617	20	ENSMUSG00000035459	13.466053009033203	6.251857757568359
liver	liver	endothelial	617	21	ENSMUSG00000056492	12.35417366027832	6.2440595626831055
liver	liver	endothelial	617	22	ENSMUSG00000031502	11.075775146484375	6.17360782623291
liver	liver	endothelial	617	23	ENSMUSG00000036256	15.3983736038208	6.118746757507324
liver	liver	endothelial	617	24	ENSMUSG00000050234	11.564672470092773	6.060706615447998
liver	liver	endothelial	617	25	ENSMUSG00000058254	13.020125389099121	6.052306175231934
liver	liver	endothelial	617	26	ENSMUSG00000024065	14.537020683288574	6.039868354797363
liver	liver	endothelial	617	27	ENSMUSG00000029648	11.361457824707031	5.990885257720947
liver	liver	endothelial	617	28	ENSMUSG00000047414	6.181671619415283	5.944888591766357
liver	liver	endothelial	617	29	ENSMUSG00000053062	11.086640357971191	5.941028118133545
liver	liver	endothelial	617	30	ENSMUSG00000040488	12.325719833374023	5.908113956451416
liver	liver	myeloid	501	1	ENSMUSG00000009350	9.587942123413086	9.566303253173828
liver	liver	myeloid	501	2	ENSMUSG00000005800	8.607964515686035	8.47127628326416
liver	liver	myeloid	501	3	ENSMUSG00000052212	8.110149383544922	8.033991813659668
liver	liver	myeloid	501	4	ENSMUSG00000039109	8.188994407653809	7.985955238342285
liver	liver	myeloid	501	5	ENSMUSG00000026458	8.844446182250977	7.876657962799072
liver	liver	myeloid	501	6	ENSMUSG00000029915	8.044316291809082	7.729412078857422
liver	liver	myeloid	501	7	ENSMUSG00000023992	9.36129379272461	7.586782455444336
liver	liver	myeloid	501	8	ENSMUSG00000022534	7.5666608810424805	7.561220645904541
liver	liver	myeloid	501	9	ENSMUSG00000063193	7.671921253204346	7.43229341506958
liver	liver	myeloid	501	10	ENSMUSG00000060063	11.533595085144043	7.0196990966796875
liver	liver	myeloid	501	11	ENSMUSG00000043832	10.639202117919922	6.91219425201416
liver	liver	myeloid	501	12	ENSMUSG00000059108	9.712677001953125	6.896278381347656
liver	liver	myeloid	501	13	ENSMUSG00000042265	6.93446159362793	6.883149147033691
liver	liver	myeloid	501	14	ENSMUSG00000069516	17.19866943359375	6.859389305114746
liver	liver	myeloid	501	15	ENSMUSG00000018500	7.2159271240234375	6.859100818634033
liver	liver	myeloid	501	16	ENSMUSG00000030148	8.819718360900879	6.790890216827393
liver	liver	myeloid	501	17	ENSMUSG00000056054	11.187009811401367	6.757779598236084
liver	liver	myeloid	501	18	ENSMUSG00000052270	8.069459915161133	6.732140064239502
liver	liver	myeloid	501	19	ENSMUSG00000042249	8.218490600585938	6.714572906494141
liver	liver	myeloid	501	20	ENSMUSG00000056071	11.128536224365234	6.460644245147705
liver	liver	myeloid	501	21	ENSMUSG00000024621	12.271120071411133	6.358808517456055
liver	liver	myeloid	501	22	ENSMUSG00000027398	10.637558937072754	6.266348361968994
liver	liver	myeloid	501	23	ENSMUSG00000030144	7.5841169357299805	6.239967346191406
liver	liver	myeloid	501	24	ENSMUSG00000021614	6.519749164581299	6.225443363189697
liver	liver	myeloid	501	25	ENSMUSG00000063506	6.488741874694824	6.216370582580566
liver	liver	myeloid	501	26	ENSMUSG00000030785	6.214574337005615	6.163702011108398
liver	liver	myeloid	501	27	ENSMUSG00000064246	6.818929672241211	6.099928855895996
liver	liver	myeloid	501	28	ENSMUSG00000015354	6.992031097412109	6.075298309326172
liver	liver	myeloid	501	29	ENSMUSG00000048498	8.102928161621094	6.0501708984375
liver	liver	myeloid	501	30	ENSMUSG00000058427	6.062506198883057	5.959953784942627
