tissue	term	within_accession_unadjusted_effect	composition_proxy_adjusted_effect	adjusted_direction_matches_unadjusted	absolute_effect_ratio_adjusted_to_unadjusted	absolute_attenuation_fraction	short_label	evidence_role	family_representative	curated_pathway
thymus	R-MMU-383280_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	0.08801361493673833	0.05962147473431803	True	0.6774119524254542	0.32258804757454584			False	False
thymus	R-MMU-388396_GPCR_DOWNSTREAM_SIGNALLING	-0.20803802401433685	0.09829657988029125	False	0.47249333551407496	0.527506664485925			False	False
thymus	R-MMU-388841_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY	-0.20216616849462368	0.04216769914638548	False	0.20857940505266523	0.7914205949473347			False	False
thymus	R-MMU-389948_CO_INHIBITION_BY_PD_1	0.024659326003584225	-0.03745066588896629	False	1.5187222020392142	-0.5187222020392142			False	False
thymus	R-MMU-392499_METABOLISM_OF_PROTEINS	-0.3828183193548386	-0.21471940267617562	True	0.5608911377021897	0.4391088622978103			False	False
thymus	R-MMU-397014_MUSCLE_CONTRACTION	0.3846185070430108	0.12219163595030325	True	0.31769567431823786	0.6823043256817621			False	False
thymus	R-MMU-416476_G_ALPHA_Q_SIGNALLING_EVENTS	0.06251155263440861	0.1517810554107371	True	2.4280480809429035	-1.4280480809429035			False	False
thymus	R-MMU-416482_G_ALPHA_12_13_SIGNALLING_EVENTS	-0.05964375809175626	-0.04937418519369102	True	0.8278181451566738	0.17218185484332615			False	False
thymus	R-MMU-418555_G_ALPHA_S_SIGNALLING_EVENTS	-0.010403142901433704	-0.0014844230303799643	True	0.1426898625198534	0.8573101374801466			False	False
thymus	R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS	0.31648305031182794	0.17951905282180478	True	0.5672311760295733	0.4327688239704267			False	False
thymus	R-MMU-418990_ADHERENS_JUNCTIONS_INTERACTIONS	0.028600430519713248	0.05477418059031791	True	1.9151523104718315	-0.9151523104718315			False	False
thymus	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	0.21218990520788528	0.1934961666204531	True	0.9119009051391127	0.0880990948608873			False	False
thymus	R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	-0.1815867175458781	-0.11090507464349006	True	0.6107554348817928	0.38924456511820715			False	False
thymus	R-MMU-422475_AXON_GUIDANCE	-0.20134464053763437	-0.12234436748197079	True	0.60763657356503	0.39236342643497			False	False
thymus	R-MMU-425407_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	0.28935633039426517	0.07135099764171593	True	0.2465852312423784	0.7534147687576216			False	False
thymus	R-MMU-4420097_VEGFA_VEGFR2_PATHWAY	0.012281439115949823	-0.004087422977940288	False	0.3328130310585491	0.6671869689414509			False	False
thymus	R-MMU-446203_ASPARAGINE_N_LINKED_GLYCOSYLATION	0.42365390507168454	0.24466583993314633	True	0.577513477402616	0.42248652259738395			False	False
thymus	R-MMU-446728_CELL_JUNCTION_ORGANIZATION	0.10539049370818993	0.03610855313343658	True	0.3426167945793632	0.6573832054206368			False	False
thymus	R-MMU-448424_INTERLEUKIN_17_SIGNALING	-0.012849629569713262	-0.010840262007473362	True	0.8436244756054287	0.15637552439457125			False	False
thymus	R-MMU-449147_SIGNALING_BY_INTERLEUKINS	0.34472569193548386	0.10863391469274998	True	0.3151314718749801	0.68486852812502			False	False
thymus	R-MMU-450294_MAP_KINASE_ACTIVATION	0.0011324461660752688	-0.0012631747965724494	False	1.1154391567682624	-0.11543915676826244			False	False
thymus	R-MMU-451927_INTERLEUKIN_2_FAMILY_SIGNALING	0.005697482244354839	0.006163592221588223	True	1.081809816554534	-0.08180981655453401			False	False
thymus	R-MMU-453274_MITOTIC_G2_G2_M_PHASES	0.09718825561111111	0.05536801407787797	True	0.5696986094639607	0.43030139053603933			False	False
thymus	R-MMU-453276_REGULATION_OF_MITOTIC_CELL_CYCLE	-0.009578103186559139	-0.0071278831981324104	True	0.7441852587404676	0.2558147412595324			False	False
thymus	R-MMU-453279_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	-0.007726467619354838	-0.017618050673592588	True	2.2802206055273286	-1.2802206055273286			False	False
thymus	R-MMU-4839726_CHROMATIN_ORGANIZATION	-0.23622308745519707	0.05257120418342849	False	0.22254896737559293	0.7774510326244071			False	False
thymus	R-MMU-500792_GPCR_LIGAND_BINDING	-0.05253248494623654	0.08749520227456828	False	1.6655447075102907	-0.6655447075102907			False	False
thymus	R-MMU-512988_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING	0.0034568200908064507	0.004487829766661216	True	1.2982537849154419	-0.29825378491544186			False	False
thymus	R-MMU-5173105_O_LINKED_GLYCOSYLATION	-0.23085129804301072	0.02406070240196565	False	0.10422597839360132	0.8957740216063987			False	False
thymus	R-MMU-5357801_PROGRAMMED_CELL_DEATH	-0.47285173566308236	-0.16093413935986625	True	0.3403479932968576	0.6596520067031424			False	False
thymus	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	-0.02457200252329749	-0.007811769120934502	True	0.3179134103347058	0.6820865896652941			False	False
thymus	R-MMU-556833_METABOLISM_OF_LIPIDS	0.05058606397849461	-0.02556121466463589	False	0.5053015129918508	0.4946984870081492			False	False
thymus	R-MMU-5610787_HEDGEHOG_OFF_STATE	0.0036827673143369185	0.0124362986390537	True	3.3768895989272822	-2.3768895989272822			False	False
thymus	R-MMU-5617833_CILIUM_ASSEMBLY	-0.3378489248458781	0.026995659686334775	False	0.07990453040112475	0.9200954695988752			False	False
thymus	R-MMU-5621481_C_TYPE_LECTIN_RECEPTORS_CLRS	-0.04129879211469534	-0.03176632246187918	True	0.7691828461630911	0.23081715383690893			False	False
thymus	R-MMU-5653656_VESICLE_MEDIATED_TRANSPORT	0.1286406785483871	-0.09656520508569559	False	0.7506583934052665	0.24934160659473348			False	False
thymus	R-MMU-5663220_RHO_GTPASES_ACTIVATE_FORMINS	-0.002719814457885304	-0.01182091885001875	True	4.346222521079504	-3.346222521079504			False	False
thymus	R-MMU-5668541_TNFR2_NON_CANONICAL_NF_KB_PATHWAY	-0.17243652422939065	-0.08788447329167268	True	0.5096627508842663	0.49033724911573373			False	False
thymus	R-MMU-5673001_RAF_MAP_KINASE_CASCADE	-0.285580076344086	-0.05797788835403268	True	0.2030179734393552	0.7969820265606448			False	False
thymus	R-MMU-5683057_MAPK_FAMILY_SIGNALING_CASCADES	-0.005105041989247309	0.027777402736272012	False	5.441170277302172	-4.441170277302172			False	False
thymus	R-MMU-5684996_MAPK1_MAPK3_SIGNALING	0.2773884001003584	0.14936984791720603	True	0.5384862808364171	0.46151371916358286			False	False
thymus	R-MMU-5685942_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR	-0.015344509200967736	-0.012010252019160051	True	0.7827068211737002	0.21729317882629984			False	False
thymus	R-MMU-5688426_DEUBIQUITINATION	-0.20220886201433694	-0.14944593722069058	True	0.7390671987961369	0.2609328012038631			False	False
thymus	R-MMU-5689880_UB_SPECIFIC_PROCESSING_PROTEASES	0.0050183071962724	0.009019941409152072	True	1.7974071846084048	-0.7974071846084048			False	False
thymus	R-MMU-5689901_METALLOPROTEASE_DUBS	0.003822656919086021	0.005181111139842821	True	1.3553691187859986	-0.35536911878599864			False	False
