gene_cluster	n_genes	direction	rank	study.source name	n_profiles	mean_expression	z_score_across_sources
7	857	low	10	51	1	1319.9871826171875	-1.4802197217941284
7	857	low	11	57	1	1356.2310791015625	-1.4758466482162476
7	857	low	12	81	1	1409.97900390625	-1.4693617820739746
7	857	low	13	A1402_3AL - GAMMA10	1	1416.4072265625	-1.4685862064361572
7	857	low	14	59	1	1442.7327880859375	-1.4654098749160767
7	857	low	15	61	1	1444.381591796875	-1.4652109146118164
7	857	low	16	94	1	1452.6639404296875	-1.4642115831375122
7	857	low	17	RR-10_VIV-06	1	1496.8541259765625	-1.458879828453064
7	857	low	18	58	1	1514.6068115234375	-1.4567378759384155
7	857	low	19	RR-10_BL-18	1	1519.5787353515625	-1.4561378955841064
7	857	low	20	54	1	1523.5963134765625	-1.455653190612793
8	1000	high	1	RRRM-2_BL_LAR_01	2	8868.9853515625	4.917357921600342
8	1000	high	2	MHU-8_HGC10	2	7751.26953125	4.094217300415039
8	1000	high	3	MHU-8_FLT12	2	7417.7255859375	3.848579168319702
8	1000	high	4	MHU-8_FLT21	2	7273.7978515625	3.742583751678467
8	1000	high	5	MHU-8_FLT18	2	7256.50537109375	3.729849100112915
8	1000	high	6	MHU-8_FLT03	2	7244.04443359375	3.720672369003296
8	1000	high	7	MHU-8_FLT14	2	7087.1416015625	3.60512113571167
8	1000	high	8	MHU-8_FLT10	2	6909.494140625	3.474292755126953
8	1000	high	9	MHU-8_HGC03	2	6832.5478515625	3.417625904083252
8	1000	high	10	MHU-8_HGC04	2	6756.59765625	3.361692428588867
8	1000	high	11	RR3_FLT_F8	2	6652.4130859375	3.284965753555298
8	1000	high	12	MHU-8_FLT20	2	6631.26171875	3.2693889141082764
8	1000	high	13	MHU-8_FLT09	2	6457.7529296875	3.141608476638794
8	1000	high	14	MHU-8_FLT15	2	6446.73095703125	3.1334917545318604
8	1000	high	15	MHU-8_HGC05	2	6445.0966796875	3.1322877407073975
8	1000	high	16	MHU-8_HGC02	2	6423.0087890625	3.116021156311035
8	1000	high	17	MHU-8_HGC07	2	6420.16162109375	3.113924741744995
8	1000	high	18	RR3_BSL_B10	1	6416.60888671875	3.1113083362579346
8	1000	high	19	MHU-8_FLT02	2	6396.3642578125	3.0963988304138184
8	1000	high	20	RR3_BSL_B8	2	6369.0068359375	3.07625150680542
8	1000	low	1	A1402_2JR - CAPE17	1	28.792999267578125	-1.5929909944534302
8	1000	low	2	EU190	1	43.58700180053711	-1.5820960998535156
8	1000	low	3	EU230	1	239.33599853515625	-1.4379369020462036
8	1000	low	4	control_8w_3	1	249.2429962158203	-1.4306408166885376
8	1000	low	5	A1402_3AL - GAMMA10	1	259.510009765625	-1.4230797290802002
8	1000	low	6	EU183	1	262.1099853515625	-1.4211649894714355
8	1000	low	7	EU231	1	284.3340148925781	-1.404798150062561
8	1000	low	8	control_10w_1	1	291.7439880371094	-1.399341106414795
8	1000	low	9	EU236	1	295.0849914550781	-1.3968806266784668
8	1000	low	10	RR-4_NSG5-W	1	296.9750061035156	-1.3954887390136719
8	1000	low	11	RR-10_VIV-07	1	303.7980041503906	-1.390463948249817
8	1000	low	12	A1402_1DL - SHAM20	1	307.3420104980469	-1.3878538608551025
8	1000	low	13	MMS_1d_2	1	307.4389953613281	-1.3877825736999512
8	1000	low	14	control_8w_1	1	311.15399169921875	-1.3850466012954712
8	1000	low	15	EU191	1	312.4020080566406	-1.3841274976730347
8	1000	low	16	RR-4_NSF6-W	1	313.7149963378906	-1.3831605911254883
8	1000	low	17	control_10w_2	1	319.2120056152344	-1.3791122436523438
8	1000	low	18	MMS_3d_3	1	327.2489929199219	-1.3731935024261475
8	1000	low	19	MMS_14d_1	1	357.93499755859375	-1.3505947589874268
8	1000	low	20	A1402_4HL - CAPEg5	1	370.9859924316406	-1.3409833908081055
9	1631	high	1	RRRM-2_BL_LAR_01	2	428.6162109375	5.19601583480835
9	1631	high	2	RR-4_NSG3-W	1	417.5469055175781	5.021358489990234
9	1631	high	3	RRRM-2_FL_ISS_16	1	398.5180969238281	4.72111177444458
9	1631	high	4	MHU-8_FLT20	2	383.0616149902344	4.477231025695801
9	1631	high	5	MHU-8_FLT12	2	368.35870361328125	4.245240688323975
9	1631	high	6	MHU-8_HGC10	2	364.15911865234375	4.1789774894714355
9	1631	high	7	MHU-8_FLT21	2	359.16217041015625	4.100132942199707
