direction	term	clean_term	study_count	accessions	best_fdr_bh	mean_wald_stat_shift_mean	aggregate_glare_support_categories
up_in_flight	REACTOME_GLOBAL_GENOMIC_NER_GG_NER	Global Genomic Ner Gg Ner	1	OSD-379	0.0002575121447913888	1.0886227596892801	
up_in_flight	REACTOME_RNA_POL_II_PRE_TRANSCRIPTION_EVENTS	Rna Pol Ii Pre Transcription Events	1	OSD-379	0.0002578841944957307	0.8708836920540047	
up_in_flight	REACTOME_M_G1_TRANSITION	M G1 Transition	1	OSD-379	0.00030573203525502077	0.7391919382314629	
up_in_flight	REACTOME_METABOLISM_OF_NON_CODING_RNA	Metabolism Of Non Coding Rna	1	OSD-379	0.00040379717839853933	0.9464542686528841	
down_in_flight	REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	Nucleotide Binding Domain Leucine Rich Repeat Containing Receptor Nlr Signaling Pathways	1	OSD-463	0.0004152518819026627	-0.9901683395703935	
down_in_flight	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	Interferon Alpha Beta Signaling	1	OSD-245	0.0004274987150105764	-0.6787509087018307	immune_complement_coagulation
down_in_flight	REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE	N Glycan Trimming In The Er And Calnexin Calreticulin Cycle	1	OSD-463	0.00048083641617867963	-2.3690432431239445	
up_in_flight	REACTOME_NUCLEOTIDE_EXCISION_REPAIR	Nucleotide Excision Repair	1	OSD-379	0.000512810714403505	0.826628910227907	
down_in_flight	REACTOME_BIOLOGICAL_OXIDATIONS	Biological Oxidations	1	OSD-245	0.0005302261485205412	-0.43673561808747013	lipid_steroid_xenobiotic_metabolism
up_in_flight	REACTOME_LAGGING_STRAND_SYNTHESIS	Lagging Strand Synthesis	1	OSD-379	0.0005699799517071637	1.5652909972743936	
up_in_flight	REACTOME_POL_SWITCHING	Pol Switching	1	OSD-379	0.0006565302616345856	1.9838288219670743	
down_in_flight	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	Antigen Processing Cross Presentation	1	OSD-245	0.0006941951608122471	-0.6088867411989032	
up_in_flight	REACTOME_MITOTIC_M_M_G1_PHASES	Mitotic M M G1 Phases	1	OSD-379	0.0007037459949261287	0.47424346788965216	
